SMILES,KELAS,C,O,B,N,P,S,F,Cl,Br,Z,@,I,COC,=,[O-],C=C,N+,C=O,:,.,-,+,[],(),#
CCC(C)C.CCC(CC(C)C1=CC=CC=C1)C2=CC=C(C=C2)C[N+](C)(C)C.N.[Cl-],1,32,0,0,3,0,0,0,1,0,8,0,0,0,3,0,6,1,0,0,4,1,1,0,9,0
C(CNCCNCCNCCN)N.Cl,1,50,0,0,27,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0
C=CCOC(=O)OCCOCCOC(=O)OCC=C,1,7,14,0,0,0,0,0,0,0,0,0,0,11,7,0,7,0,0,0,0,0,0,0,7,0
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCO,1,33,5,0,0,0,0,0,0,0,5,0,0,2,2,0,5,0,0,0,0,0,0,0,13,0
C=CC1=CC=CC=C1.C1=CC(=O)OC1=O,1,20,10,0,0,0,0,0,0,0,13,0,0,0,13,0,10,0,0,0,3,0,0,0,3,0
COC=C.C1=CC(=O)OC1=O,1,15,15,0,0,0,0,0,0,0,10,0,0,5,15,0,5,0,0,0,5,0,0,0,5,0
CC(C)(C1=CC=C(C=C1)OCC(COC(=O)C=C)O)C2=CC=C(C=C2)OCC(COC(=O)C=C)O,1,16,9,0,0,0,0,0,0,0,6,0,0,3,6,0,9,0,0,0,0,0,0,0,12,0
CC(C)(C)C1=CC=C(C=C1)O.C=O,1,23,7,0,0,0,0,0,0,0,7,0,0,0,3,0,7,0,3,0,3,0,0,0,11,0
C=CC=C.C=CC1=CC=CC=C1,1,9,0,0,0,0,0,0,0,0,9,0,0,0,4,0,23,0,0,0,4,0,0,0,0,0
OP(=O)(O)O.O1OP2OOP1O2,1,0,40,0,0,13,0,0,0,0,18,0,0,0,4,0,0,0,0,0,4,0,0,0,9,0
COC1=CC=CC(=C1O)CC(CS(=O)(=O)O)OC2=C(C=C(C=C2)CCCS(=O)(=O)O)OC,1,19,14,0,0,0,3,0,0,0,6,0,0,1,11,0,4,0,0,0,0,0,0,0,12,0
C=CC=C.C=CC#N.C=CC1=CC=CC=C1,1,10,0,0,3,0,0,0,0,0,7,0,0,0,3,0,21,0,0,0,7,0,0,0,0,3
C=O.C1=CC=C(C=C1)N=C=O,1,9,9,0,4,0,0,0,0,0,9,0,0,0,9,0,9,0,9,0,4,0,0,0,4,0
CC(C(C(=O)O)N)OC1C(C(C(C(O1)COC2(CC(C(C(O2)C(C(CO)O)O)NC(=O)CNC(=O)OCCOC)O)C(=O)O)O)O)NC(=O)C,1,24,18,0,4,0,0,0,0,0,4,0,0,2,5,0,0,0,0,0,0,0,0,0,18,0
CC(=O)OCC1C(C(C(C(O1)O)OC(=O)C)O)O,1,29,23,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,17,0
COC1=C(C=C2C(C(C(CC2=C1)CO)CO)C3=CC(=C(C=C3)O)OC)O,1,28,10,0,0,0,0,0,0,0,12,0,0,2,8,0,4,0,0,0,0,0,0,0,12,0
CCCCCCCCOCCO,1,66,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)[Si](C(C)C)(O[Si](C(C)C)(C(C)C)Cl)Cl,1,34,2,0,0,0,4,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
C=CC(=O)OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1,16,3,0,0,0,0,24,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,24,0
CC1=CC(=C(C(=C1)N2N=C3C=CC=CC3=N2)O)CC(C)C[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,1,26,4,0,4,0,4,0,0,0,12,0,0,0,6,0,2,0,0,0,0,0,0,0,13,0
CCCCCCCCCCCCOCCOCCOCCO,1,54,4,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
C[Si]1(O[Si](O[Si](O1)(C)CCC(F)(F)F)(C)CCC(F)(F)F)CCC(F)(F)F,1,20,5,0,0,0,5,15,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
CO[Si](C)(C)C1=CC=CC=C1,1,21,4,0,0,0,4,0,0,0,13,0,0,0,4,0,8,0,0,0,0,0,0,0,8,0
O.[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Ca+2].[Ca+2],1,3,17,0,0,0,3,0,0,0,7,0,0,0,7,0,0,0,0,0,7,7,3,0,7,0
CC(C)COC(=O)C(=C)C#N,1,30,5,0,5,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,15,5
CCCCCCCCCCOCCO,1,71,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCOC(=O)C(=C)C#N,1,45,4,0,4,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,9,4
CCCCCCCCCCOCCOCCOCCOCCO,1,43,4,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
C=CC(=O)[O-],1,8,16,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,8,0,0,8,0
CC(=O)OC=C.C=CCl,1,18,12,0,0,0,0,0,6,0,6,0,0,0,6,0,12,0,0,0,6,0,0,0,6,0
CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O.C=CC(=O)O.C1C(O1)CCl,1,21,8,0,0,0,0,0,1,0,12,0,0,0,5,0,8,0,0,0,3,0,0,0,10,0
CCCCO.CC(CO)O.C(CO)O,1,45,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0
[O-][Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[Al+3].[Al+3].[Ca+2].[Ca+2],1,1,13,0,0,0,4,0,0,0,13,0,0,0,4,0,0,0,0,0,7,8,3,0,4,0
[O-2].[Ca+2],1,8,8,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
C=CCl.C=C(Cl)Cl,1,20,0,0,0,0,0,0,20,0,20,0,0,0,0,0,13,0,0,0,6,0,0,0,6,0
C=CC#N.C=CC1=CC=CC=C1,1,14,0,0,4,0,0,0,0,0,9,0,0,0,4,0,19,0,0,0,4,0,0,0,0,4
